epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.952,0.99596,2.28303,1.42178,0.00467,0.96552,0.53454,0.37034,0.86868,2.98262,1.45288,0.00022,0.00022,0.00022
2,115.024,0.81925,1.3838,1.29756,0.00458,0.94828,0.58815,0.40843,1.06162,2.91976,1.5742,0.00043723,0.00043723,0.00043723
3,171.967,0.88647,1.37854,1.29694,0.89429,0.29178,0.50035,0.34928,1.17352,2.75466,1.69295,0.0006307,0.0006307,0.0006307
4,242.987,0.95873,1.40305,1.39539,0.63338,0.38734,0.50039,0.32004,1.42073,2.85841,1.84169,0.00080041,0.00080041,0.00080041
5,334.479,0.94752,1.29357,1.3817,0.76422,0.55894,0.59023,0.37641,1.34886,2.6203,1.85773,0.00094636,0.00094636,0.00094636
6,425.227,0.90458,1.20905,1.32437,0.74469,0.55172,0.58641,0.35694,1.45717,2.40958,1.99801,0.00106855,0.00106855,0.00106855
7,515.062,1.01293,1.20569,1.41934,0.73166,0.51712,0.54411,0.33973,1.44235,2.5884,2.0562,0.00116698,0.00116698,0.00116698
8,606.221,1.07145,1.2723,1.49641,0.62156,0.53809,0.55825,0.3381,1.56445,2.3897,2.10518,0.00124165,0.00124165,0.00124165
9,696.842,0.92236,1.1486,1.35116,0.43079,0.63793,0.4586,0.28156,1.46181,2.31213,1.9907,0.001208,0.001208,0.001208
10,787.299,0.92274,1.07793,1.31334,0.61401,0.60345,0.58551,0.39975,1.29596,2.17402,1.75015,0.001109,0.001109,0.001109
11,877.629,0.86614,1.50214,1.42467,0.8614,0.65517,0.70596,0.37219,1.56557,2.15717,2.32952,0.00101,0.00101,0.00101
12,967.662,0.80285,1.36811,1.37077,0.8338,0.65517,0.71109,0.44343,1.20184,1.771,1.84897,0.000911,0.000911,0.000911
13,1058,0.79583,1.2407,1.29381,0.80547,0.67241,0.69069,0.44152,1.22011,1.93001,1.79251,0.000812,0.000812,0.000812
14,1148.35,0.76125,1.18217,1.27478,0.94857,0.63598,0.74616,0.5391,1.12789,1.62567,1.68322,0.000713,0.000713,0.000713
15,1238.18,0.66732,1.05382,1.21769,0.88515,0.6645,0.7687,0.49846,1.28457,1.54843,1.81342,0.000614,0.000614,0.000614
16,1316.38,0.69123,1.0759,1.18122,0.92647,0.65176,0.75665,0.55068,1.08197,1.36021,1.5605,0.000515,0.000515,0.000515
17,1372.44,0.72275,0.9793,1.22862,0.99334,0.63793,0.74793,0.5297,1.12682,1.37285,1.61586,0.000416,0.000416,0.000416
18,1426.21,0.6396,0.9302,1.16177,0.97005,0.65517,0.75233,0.52437,1.13856,1.39498,1.60712,0.000317,0.000317,0.000317
19,1474.81,0.62521,0.92061,1.16575,0.90903,0.68912,0.77094,0.55286,1.0387,1.34792,1.51278,0.000218,0.000218,0.000218
20,1528.16,0.6288,0.86694,1.18074,0.88827,0.72414,0.78603,0.56679,0.99582,1.3253,1.47544,0.000119,0.000119,0.000119
