epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.60921,1.12273,2.64608,1.60507,0.00333,0.77778,0.23264,0.17699,0.89972,3.16783,1.41928,2e-05,2e-05,2e-05
2,14.4229,1.11661,2.65841,1.55939,0.00333,0.77778,0.25486,0.17152,0.84345,3.13016,1.38562,5.703e-05,5.703e-05,5.703e-05
3,21.4865,0.94964,2.48535,1.44581,0.00333,0.77778,0.40425,0.25583,0.83869,3.12523,1.41503,9.01e-05,9.01e-05,9.01e-05
4,28.9716,0.85778,2.27238,1.37795,0.00381,0.88889,0.47018,0.21038,0.90062,3.23822,1.54786,0.00011921,0.00011921,0.00011921
5,35.6609,1.00276,2.3121,1.44431,0.00333,0.77778,0.5018,0.21639,0.99901,3.25776,1.72143,0.00014436,0.00014436,0.00014436
6,42.7214,0.69659,1.95162,1.21633,0.00333,0.77778,0.4964,0.25072,0.98967,3.15993,1.67391,0.00016555,0.00016555,0.00016555
7,49.8309,0.789,1.79973,1.33431,0.00333,0.77778,0.40391,0.29269,0.89644,3.06699,1.50633,0.00018278,0.00018278,0.00018278
8,57.7558,0.76062,1.56121,1.25922,0.00333,0.77778,0.43233,0.3413,0.84744,2.99267,1.38358,0.00019605,0.00019605,0.00019605
9,65.2613,0.88852,1.50602,1.31158,0.00333,0.77778,0.37945,0.30564,0.83225,2.97637,1.42837,0.00020536,0.00020536,0.00020536
10,73.1582,0.67731,1.42738,1.26965,0.00333,0.77778,0.39525,0.31264,0.8724,2.9791,1.43999,0.00021071,0.00021071,0.00021071
11,80.3655,0.67886,2.16147,1.31342,0.00333,0.77778,0.4342,0.2931,0.93646,3.02623,1.46892,0.0002121,0.0002121,0.0002121
12,87.9423,0.71227,2.26816,1.29331,0.00333,0.77778,0.44829,0.26386,1.0022,3.04486,1.51625,0.00020953,0.00020953,0.00020953
13,95.9679,0.72369,2.22051,1.3685,0.00333,0.77778,0.45754,0.24405,1.14032,3.11433,1.65185,0.000203,0.000203,0.000203
14,103.82,0.75172,2.21758,1.35018,0.00333,0.77778,0.50162,0.24678,1.25192,3.16198,1.7727,0.00019251,0.00019251,0.00019251
15,110.584,0.66014,1.91011,1.1908,0.00333,0.77778,0.52901,0.24706,1.29056,3.20849,1.8132,0.00017806,0.00017806,0.00017806
16,116.744,0.57607,1.84033,1.11875,0.00333,0.77778,0.58391,0.26352,1.33768,3.21972,1.8324,0.00015965,0.00015965,0.00015965
17,123.412,0.54885,1.90459,1.20403,0.00333,0.77778,0.60353,0.28196,1.34082,3.27084,1.79237,0.00013728,0.00013728,0.00013728
18,130.248,0.5801,1.72583,1.16569,0.00333,0.77778,0.58719,0.28204,1.34561,3.1822,1.76864,0.00011095,0.00011095,0.00011095
19,137.881,0.57738,1.83798,1.26341,0.00333,0.77778,0.56492,0.32017,1.33953,3.12226,1.75031,8.066e-05,8.066e-05,8.066e-05
20,145.398,0.59978,1.87169,1.29539,0.00333,0.77778,0.56492,0.31521,1.34425,3.10204,1.74248,4.641e-05,4.641e-05,4.641e-05
