epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6844,1.07692,2.50735,1.47422,0.00452,0.92683,0.47408,0.28824,0.90509,3.14749,1.50298,0.0001,0.0001,0.0001
2,48.4943,0.87753,1.93376,1.30137,0.00452,0.92683,0.61926,0.41761,1.0039,2.97699,1.4723,0.00020911,0.00020911,0.00020911
3,74.3445,0.87082,1.48315,1.32384,0.62881,0.09756,0.54887,0.3631,1.07252,2.96227,1.53232,0.00030634,0.00030634,0.00030634
4,100.709,0.85538,1.31478,1.29724,0.84208,0.13091,0.6273,0.44631,1.26527,2.90788,1.65806,0.00039169,0.00039169,0.00039169
5,126.52,0.8043,1.21783,1.24309,0.77655,0.25473,0.52944,0.38379,1.26056,2.87107,1.73434,0.00046516,0.00046516,0.00046516
6,151.789,0.84127,1.19192,1.28526,0.91506,0.52574,0.62657,0.42593,1.2325,2.5749,1.72046,0.00052675,0.00052675,0.00052675
7,176.759,0.81868,1.14777,1.25925,0.68111,0.31276,0.50136,0.36274,1.09235,2.6712,1.54986,0.00057646,0.00057646,0.00057646
8,202.998,0.80342,1.07918,1.23426,0.6846,0.52957,0.55368,0.40894,1.10954,2.47903,1.6145,0.00061429,0.00061429,0.00061429
9,228.085,0.80703,1.09683,1.25729,0.7824,0.63415,0.6496,0.4076,1.36858,2.48552,1.90446,0.00064024,0.00064024,0.00064024
10,252.85,0.80967,1.05458,1.2652,0.70739,0.58974,0.55791,0.37253,1.1928,2.52898,1.67605,0.00065431,0.00065431,0.00065431
11,277.917,0.70219,1.62727,1.24454,0.85153,0.58537,0.64052,0.43797,1.27088,2.33098,1.83084,0.0006565,0.0006565,0.0006565
12,303.971,0.72699,1.37925,1.25595,0.93097,0.58537,0.64329,0.45279,1.19002,2.49956,1.7071,0.00064681,0.00064681,0.00064681
13,329.833,0.71515,1.40063,1.24779,0.89134,0.60045,0.66556,0.37985,1.36765,2.64035,1.91628,0.00062524,0.00062524,0.00062524
14,355.493,0.66481,1.34877,1.20186,0.91033,0.63415,0.69146,0.4577,1.2499,2.404,1.75582,0.00059179,0.00059179,0.00059179
15,383.174,0.671,1.28167,1.21526,0.89283,0.65854,0.70412,0.47486,1.24458,2.29152,1.74455,0.00054646,0.00054646,0.00054646
16,411.069,0.68168,1.17498,1.22263,0.90437,0.63415,0.72686,0.487,1.19746,2.06102,1.7843,0.00048925,0.00048925,0.00048925
17,438.658,0.64349,1.13685,1.16459,0.85198,0.70205,0.71429,0.50351,1.14766,2.03737,1.72889,0.000416,0.000416,0.000416
18,465.011,0.59302,1.10536,1.12539,0.93089,0.65713,0.70245,0.45617,1.22702,2.00768,1.81792,0.000317,0.000317,0.000317
19,490.714,0.57473,1.04569,1.11452,0.89426,0.65854,0.69866,0.4573,1.21261,1.95915,1.87978,0.000218,0.000218,0.000218
20,518.186,0.58521,1.10501,1.15784,0.93299,0.67933,0.74038,0.47325,1.18765,1.88966,1.77626,0.000119,0.000119,0.000119
